留言名字,回覆內容
"

美娜米

","
美娜米 wrote:(恕刪)
可惡 不會用 ，所見所得
"
"

美娜米

","
美娜米 wrote:可惡 不會用 ，所見(恕刪)

"
"

輕舞飛揚01

","
美娜米 wrote:羨慕我只有300多分...(恕刪)
快來一起聊天回文
"
"

美娜米

","
輕舞飛揚01 wrote:快來一起聊天回文(恕刪)
嗨
"
"

美娜米

","
輕舞飛揚01 wrote:2021-02-10 14:59
一起加油
"
"

美娜米

","

美娜米 wrote:一起加油(恕刪)
"
"

美娜米

","
美娜米 wrote:(恕刪)

"
"

美娜米

","

美娜米 wrote:(恕刪)
++
"
"

美娜米

","
美娜米 wrote:++(恕刪)
---++
"
"

美娜米

","
美娜米 wrote:---++(恕刪)
++
"
"

美娜米

","
美娜米 wrote:++(恕刪)
一直在
"
"

美娜米

","

美娜米 wrote:一直在(恕刪)
"
"

喬大叔

","
美娜米 wrote:快來給我打分數...(恕刪)
別在院長的樓玩啦⋯
"
"

美娜米

","
喬大叔 wrote:別在院長的樓玩啦⋯(恕刪)
孤兒怨嗎
"
"

輕舞飛揚01

","
美娜米 wrote:孤兒怨嗎...(恕刪)
我看了都捏把冷汗
"
"

喬大叔

","
美娜米 wrote:孤兒怨嗎...(恕刪)
怕院長把藥加重⋯
"
"

美娜米

","
喬大叔 wrote:怕院長把藥加重⋯(恕刪)

"
"

喬大叔

","
美娜米 wrote:...(恕刪)
剛才在另一回妳就中了⋯
"
"

美娜米

","
喬大叔 wrote:剛才在另一回妳就中了(恕刪)
"
"

一人決策小組

","
不要啊    我這麼口愛為什麼............大家都去穿紅內褲謝謝壞媽媽但我不能放棄我愛壞媽媽我愛草莓姨我愛4S姊姊我愛小妹妹我愛白虎爺爺
"
"

喬大叔

","
美娜米 wrote:...(恕刪)
洗分樓壞媽找米⋯
"
"

Suzy2018

","
美娜米 wrote:孤兒怨嗎(恕刪)
這部很恐怖
"
"

Neeln

","
哪有姑娘不戴花 wrote:我不會隨便給人分數的(恕刪)
這位大大回覆的真的是很幽默!
"
"

Suzy2018

","
Neeln wrote:這位大大回覆的真的是(恕刪)
你還在拼喔你這幾張了
"
"

啻翼

","
Suzy2018 wrote:你還在拼喔你這幾張了(恕刪)
午安
"
"

夢之星空

","
這樓看起來少很多的人了
"
"

蘭蘭321

","
夢之星空 wrote:這樓看起來少很多的人(恕刪)
路過大家晚餐吃飽沒？
"
"

蘭蘭321

","
啻翼 wrote:午安(恕刪)
你好 晚安喔
"
"

啻翼

","
蘭蘭321 wrote:你好 晚安喔(恕刪)
嗨 剛回，刷起來
"
"

啻翼

","
啻翼 wrote:嗨 剛回，刷起來(恕刪)
加減刷一下
"
"

啻翼

 ","
夢之星空 wrote:這樓看起來少很多的人(恕刪)
今晚人真少
"
"

蘭蘭321

","
啻翼 wrote:今晚人真少(恕刪)
真的沒人煙
"
"

JodyLin

","
哪有姑娘不戴花 wrote:我不會隨便給人分數的除非他真的寫得很爛，我才會給5分...(恕刪)
再+5分
"
"

JodyLin

","
chiang wrote:各位知道我們設立給分...(恕刪)
順便作者也給5分
"
"

macross_sato

","
是個蓋牌陷阱！！！！
"
"

terrybog

","
chiang wrote:各位知道我們設立給分...(恕刪)
現在都是用關鍵字搜尋了，分數高低實在不會影響閱讀者的判斷
"
"

macross_sato

","
我覺得給分應該廢除，只要留下表情符號計數這篇文章讀後心情歸屬即可以。
"
"

喬大叔

","
macross_sato wrote:我覺得給分應該廢除
...蔣大...彈指吧...
"
"

macross_sato

","
喬大叔 wrote:...蔣大...彈指(恕刪)
喬叔， 為什麼不挖鼻孔要彈指？是要斗內嗎？
"
"

喬大叔

","
macross_sato wrote:喬叔， 為什麼不挖鼻孔要彈指？是要斗內嗎？
蔣大講的啊...chiang wrote:你們知道嗎?我只要彈個手指，你們灌水的分數就瞬間歸零了
"
"
 
macross_sato

","
喬大叔 wrote:蔣大講的啊...(恕刪)
哇！難怪長得很泰坦星人阿！
"
"

喬大叔

","
macross_sato wrote:哇！難怪長得很泰坦星人阿！
有嗎...
"
"

macross_sato

","
喬大叔 wrote:泰坦星人
薩諾斯小時候蔣大
"
"

喬大叔

","
macross_sato wrote:薩諾斯小時候蔣大(恕刪)
蔣大又沒有蛋蛋下巴...
"
"

不貳過

","
macross_sato wrote:薩諾斯小時候蔣...(恕刪)
敢這樣汙衊大家長.....請保重 !
"
"

喬大叔

","
不貳過 wrote:敢這樣汙衊大家長.....請保重 !
殺躲桑沒在怕的啦...
"
"

macross_sato

","
不貳過 wrote:敢這樣汙衊大家長..(恕刪)
偶是稱讚老大有薩諾斯氣魄說！
"
"
 
macross_sato

","
喬大叔 wrote:蛋蛋下巴.(恕刪)
可能老的時候才有皺紋吧？!
"
"

喬大叔

","
macross_sato wrote:可能老的時候才有皺紋吧？!
看看你昨天貼嬰兒照...再看看你說的...
"
"

喬大叔

","
macross_sato wrote:偶是稱讚老大有薩諾斯氣魄說！
本当??...
"
"

macross_sato

","
喬大叔 wrote:看看你昨天貼嬰兒照...再看看你說的...
說不一定有去電波拉皮阿！
"
"

macross_sato

","
喬大叔 wrote:殺躲桑沒在怕的啦...
偶跟變態兩個 剉勒蛋！！！！
"
"

喬大叔

","
macross_sato wrote:偶跟變態兩個 剉勒蛋！！！！
腳趾洗乾淨...手牽手一起進...
"
"

喬大叔

","
macross_sato wrote:說不一定有去電波拉皮阿！
不是說老了才會有...
"
"

coffeesteakxboxone

","
哪有姑娘不戴花 wrote:我不會隨便給人分數的(恕刪)
拳大說的是!蔣大去年底還落後我幾百分,現在已經超越我破萬了!我都不知道怎摸回應他了!
"
"

macross_sato

","
coffeesteakxboxone wrote:我都不知道怎摸回應他了!
就說你都洗乾淨了！
"
"

喬大叔

","
macross_sato wrote:就說你都洗乾淨了！
然後??...
"
"

macross_sato

","
喬大叔 wrote:然後??...
當然要躺平平！
"
"

寂寞的陸仁賈

","
先跟我解釋一下這隻懶轎一直出現是有啥意義？
"
"

寂寞的陸仁賈

","
莫非懶轎歪一邊是有什麼特別的意義？
"
"

喬大叔

","
寂寞的陸仁賈 wrote:莫非懶轎歪一邊是有什...(恕刪)
壞掉了⋯
"
"

艸將一入艸央日月

","
寂寞的陸仁賈 wrote:莫非懶轎歪一邊是有什(恕刪)
真心不騙借紹您一個最具公性力的網站能解決二哥的困擾
"
"

macross_sato

","
請問，我該不該給歪掉的懶轎嘉舞芬？
"
"

death0101

","
寂寞的陸仁賈 wrote:莫非懶轎歪一邊是有什(恕刪)
感覺挺屌的?
"
"

death0101

","
death0101 wrote:感覺挺屌的?(恕刪)
人都哪去了??有人在家嗎???
"
"

喬大叔

","
death0101 wrote:人都哪去了??有人在...(恕刪)
有事嗎？⋯
"
"

寂寞的陸仁賈

","
macross_sato wrote:請問，我該不該給歪掉...(恕刪)
最多也只能嘉舞芬了！
"
"

法客

","
chiang wrote:各位知道我們設立給分(恕刪)
這裏的人能跟你講道理說的通這裏就不叫01了⋯⋯⋯⋯老闆 😂👍🏻
"
"

白聖潔

","
可是....看分數增加對有些人來說會有種滿足感吧
"
"

pc8801

","
很多人認同的就等於是好文章?很多人不認同的就是罪該萬死?還別說這所謂的很多人到底是怎麼個很多人.鼓勵是種動力,那麼每一篇文都是因為得到鼓勵才發出來的嗎?得到很多鼓勵之後再發的文就必定會是好文嗎?嚴格來說,失去原本設計的目的就表示這是一個已經失敗的設計,與其指責群眾的不嚴謹,還不如檢討自己哪裡不夠嚴謹.又或者說例如巴哈的gp/bp或是steam的好評差評,在個人來看那就是丟出來讓群眾們自己玩的東西,能在事前想清楚設計出一個東西出來到底在實際上是會有甚麼作用這可能是重點,理想可能很美滿,然而現實卻經常性的讓人受不了.可能也沒人有辦法讓板上所有的人的全維認知都保持一致,或許想想怎麼設計出一些可以不會被濫用的機制才是正確方向.
"
"

macross_sato

","
我來佔版面了!來打我啊!
"
"

NeverGiveUp!!

","
阿猴來沾沾版面．今中午吃的飽餐．--肉絲蛋炒飯（不油膩不鹹剛好．飯很軟Ｑ好吃）６０綜合湯（就取之所有單品湯各取幾樣的綜合湯）６０--WiDE AWAKE - HiGHER
"
"

wubbalubbadubdub

","
法客 wrote:這裏的人能跟你講道理(恕刪)
01某種程度跟ptt類似，只是兇的方式不一樣反正一種米養百樣人，本來大家就意見難以一致不理性也是正常的啦，這年頭有吵就有糖吃，是不是
"
"

kkaajjss

","
這裡是賺分帖嗎
"
"

NeverGiveUp!!

","
‍‍‍‍‍
kkaajjss wrote:這裡是賺分帖嗎(恕刪)
"
"

macross_sato

","
來賓請加分鼓勵
"
"

zxcvbnm4825

","
chiang wrote:各位知道我們設立給分(恕刪)
所以給1分，是肯定，還是覺得文章不好？
"
"

沒有銅鋰鋅

","
來這邊賺巴幣，讚讚讚！
"
"

luke.vibert

","
chiang wrote:各位知道我們設立給分(恕刪)
好的我不會給你分數我也沒點廣告
"
"

macross_sato

","
來賓請掌聲鼓勵!!!
"
"

fujiwara8686868686

","
kkaajjss wrote:這裡是賺分帖嗎(恕刪)
這種就五分奉上，可惜最多只有五分不然還不給爆
"
"

Lucky John

","
chiang wrote:各位知道我們設立給分(恕刪)
應該是說某些版應該停用給分功能，比如時事版。
"
"

macross_sato

","
宮廟之美!來賓請給分~~~
"
"

曈顏無忌

","
chiang wrote:各位知道我們
嗨嗨！報告蔣院長(擊鼓~~咚 咚 咚)這個ＩＤ今天【首日發文】(截至現在)已經開了一百五十個【色情】主題樓，真誇張~~請趕快派員處理吧！--------------------------＠佐藤哥～～＠喬叔～～2021.06.01 13:50 補充說明昨天我還有跑到【惡魔島】去告御狀~~蔣院長早就受理了啦！
"
"

macross_sato

","
曈顏無忌 wrote:嗨嗨！報告蔣院長(擊(恕刪)
姊姊, 這邊是貼圖歡樂樓!這裡沒蔣大啦!偶叫他出來打球好幾次沒人理啦!妳入進隨俗,要知道禮貌,貼張美腿圖來吧!!
"
"

喬大叔

","
曈顏無忌 wrote:嗨嗨！報告蔣院長(擊鼓~~咚 咚 咚)(恕刪請趕快派員處理吧！
被收走了...
"
"

macross_sato

","
喬大叔 wrote:被收走了...(恕刪)
驚!喬叔， 你是說被蔣大收走了嗎？。。。。。。
"
"

醬油丸子

","
給不給分，我都無所謂，對別人來說，我是路人甲，對自己來說，我只是個過客。太多分分離離的平臺，應該早就看淡了。問題能解決是再好不過，問題無法解決，我想提問的人也早有解答，只是苦了那些需要答案的樓主。老衲不收舌妖。
"
"

辛勤的主婦

","
是不是因為疫情太無聊，加分只是增加跟人的互動方式之一，因為大家悶壞了。
"
"

秦亞玲

","
何淑惠 wrote:是不是因為疫情太無聊(恕刪)
同意!我覺得人跟人之間可以互相理解互相體諒。
"
"

alwh51101

","
何淑惠 wrote:是不是因為疫情太無聊(恕刪)
我已經一個月除了偶爾去買菜 幾乎都不出門
"
"

喬大叔

","
何淑惠 wrote:是不是因為疫情太無聊，加分只是增加跟人的互動方式之一，因為大家悶壞了。
拿現在的時事套在過去的文章??...
"
"

macross_sato

","
請問，偶可以用加分增進人與人的連結嗎？
"
"

Ckans9634

","
說的好給你支持
"
"

SmartShiba

","
給分給起來
"
"

多多空空

","
我都很認真回文和給分
"
"

chris231

","
chiang wrote:給分功能設立之初是希望能夠給寫好文章的人，或是回答問題很認真的人一種鼓勵
收到，蔣大。。。。。還是認真回答好了。那得要想辦法增加分數受尊重的程度。常常看到分數很高的人的內容。。。實在實在是尊敬不起來。如何讓分數受尊重？這個才是解決之道。負分就是一個方法。受關注和黑名單都是。論壇除了賣廣告，還能賣資源（我說的不是隱私等非法的）.例如找ML廠商等。。。
"
"

chris231

","
把回文整合一起有好有壞，但回文不能給分。似乎和這篇的呼籲背道而馳。
"
"

bemygirl

","
原來給分的功用是這樣解開我多年的疑惑
"
"

小笨狗你害我好丟臉

","
無異議
"
"

癲狂詹詹

","
我的要求並不高，個人分數能超過100就好，謝謝。
"
"

yinn3492

","
海獅會 害怕海獅會 不知所措海獅會 海獅會 海獅會
"
"

yanqing45

","
癲狂詹詹 wrote:我的要求並不高，個人(恕刪)
互助互助
"
"

yuting3468

","
癲狂詹詹 wrote:我的要求並不高，個人(恕刪)
討厭 被命令了 就給吧
"
"

東星才是05

","
qwe6325551 wrote:給分給起來(恕刪)
有狗勾就給讚
"
"

fang1127

","
沒意義吧，就一個成就累積的感覺
"
"

chengzheng92

","
fang1127 wrote:沒意義吧，就一個成就(恕刪)
說得好 那可以給我一點分數嗎
"
"

asdf787854

","
fang1127 wrote:沒意義吧，就一個成就(恕刪)
越高分越爽 幾十萬的直接起飛...
"
"

tingyi3793

","
asdf787854 wrote:越高分越爽 幾十萬的(恕刪)
大家都用食物照 跟我一樣餓嗎...
"
"

bjbj4646

","
刷起來 分數刷起來
"
"

xintian385

","
大家覺得下週會解到2級嗎
"
"

fonfon5670

","
有個電影台詞好像說過:意義是三小
"
"

yunyun00745

","
fonfon5670 wrote:有個電影台詞好像說過(恕刪)
來自我們特級疫區-艋舺
"
"

zero00683

","
xintian385 wrote:大家覺得下週會解到2(恕刪)
已經降了:)太哭了有多哭就給我多少分
"
"

jjy33669

","
如果給分能讓減少社會事件的發生那就不要吝嗇吧
"
"

prettyguy

","
沒有評分沒關係，至少給個點讚的功能，
"
"

司巴拉西

","
分數能換棒棒糖不順便給我兒子看看他老頭還是能在01亂哈拉
"
"

stevengis

","
那是否換個方式多個""不推""的選項或是像FB那樣除了贊，還有其它符號。借以顯示出大多人對這篇文的心意。
"
"

sogo5370

","
chiang wrote:我希望夠過溝通跟溫情喊話能讓大家改變使用習慣，不要讓我們用規定或強制拿掉這個功能的方式來處理問題，我不認爲這種方式是最好的解決方法，再次呼籲大家幫忙，多給發文者鼓勵，不要再亂用給分功能，拜託
我只能說管太多人們的熱情是你管得住的嗎還把時事版的評分拿掉跟陳時中一樣疫苗打快打慢都要管最後管得一團亂給分本來就是一種認同感的表現可以一句話就讓人有感或是讓人笑出來是他的本事不是你認同的文章才叫好文章論壇討論又不是辦作文比賽不然你乾脆規定沒有一百字以上(引言不算)不准發文好了曾經 YAHOO也把新聞底下的評論區的按讚按噓也取消瞬間被罵爆還掉了很多流量隔幾天受不了就又加回去了希望01別重蹈覆輒因為一個論壇的流量是要長時間經營才能成長但要掉只是一瞬間的事
"
"

liyu3118

","
對我來說得到分數好難現在還是0分
"
"

andrew3688

","
sogo5370 wrote:我只能說管太多人們的熱情是你管得住的嗎還把時事版的評分拿掉跟陳時中一樣疫苗打快打慢都要管最後管得一團亂給分本來就是一種認同感的表現可以一句話就讓人有感或是讓人笑出來是他的本事不是你認同的文章才叫好文章論壇討論又不是辦作文比賽不然你乾脆規定沒有一百字以上(引言不算)不准發文好了曾經 YAHOO也把新聞底下的評論區的按讚按噓也取消瞬間被罵爆還掉了很多流量隔幾天受不了就又加回去了希望01別重蹈覆輒因為一個論壇的流量是要長時間經營才能成長但要掉只是一瞬間的事
評分也只是這幾年的事，沒評分之前01不也活得好好的，不然你試試抵制都不來01這裡，看看哪裡還可取暖就去那邊，看看01少了你會不會倒
"
"

Elizabeth chloe

","
希望01愈來愈好優質版友願意再回來分享交流重現往日人氣榮景有人的地方怎麼設定制度都很難若也能針對單人單日洗版太over做個發文頻率過瘋的規範管理更好有的版塊就是被洗版玩壞的一人發神經整版全瘋文好文被排擠生人紛走避當然這個標準也很難訂也沒什麼建議好給管方給分這事好好給，尊重給，挺好的。
"
"

sogo5370

","
andrew3688 wrote:評分也只是這幾年的事，沒評分之前01不也活得好好的，不然你試試抵制都不來01這裡，看看哪裡還可取暖就去那邊，看看01少了你會不會倒
那我建議閒聊區也禁止給分廢話更多而且不用你擔心道不同不相為謀我已經再淡出了
"
"

jrc1234567

","
chiang wrote:各位知道我們設立給分(恕刪)
我同意.........時事 不應該給分.............................
"
"

stevengis

","
我覺得給贊或倒贊的加權最好。一看便懂
"
"

stevengis

","
象這種文想給個倒贊都不行。""會吵坐經濟艙，住平價房的，根本不是運動選手該有的態度，你當你是出國渡假嗎，人果然不能太高傲，嬌兵必敗，嬌生慣養，侍寵而嬌，嬌柔造作，一直打出界球，給對手送分 。""
"
"

青花魚柳

","
原來有這一篇耶！店大欺客而已，需要這麼鬼鬼祟祟嗎！？停評分功能的是這個閒聊版嗎！？評分校正回歸刪除的是這個閒聊版嗎！？偷偷摸摸發個聲明在這裡是！？
"
"

喬大叔

","
青花魚柳 wrote:停評分功能的是這個閒聊版嗎！？評分校正回歸刪除的是這個閒聊版嗎！？偷偷摸摸發個聲明在這裡是！？
希望這個版的人不要玩積分...
"
"

t5685963

","
stevengis wrote:我覺得給贊或倒贊的加權最好。
時事區不給積分，我覺得沒什麼但為什麼連按讚也取消了....我覺得這個功能很好，一目瞭然算是給文章的一種鼓勵....不過若有倒讚功能更棒有些文真的看到就會起火
"
"

stevengis

","
t5685963 wrote:時事區不給積分，我覺得沒什麼但為什麼連按讚也取消了....我覺得這個功能很好，一目瞭然算是給文章的一種鼓勵....不過若有倒讚功能更棒有些文真的看到就會起火
完全認同
"
"

牛杯杯0216

","
t5685963 wrote:時事區不給積分，我覺(恕刪)
你看得很火的文章，在有些人眼裡可是好文，到時候讚與倒讚又是另一場腥風血雨。
"
"

喬大叔

","
牛杯杯0216 wrote:你看得很火的文章，在有些人眼裡可是好文，到時候讚與倒讚又是另一場腥風血雨。
藍綠對決喔...
"
"

帕達鴨

","
時事區不止不給分還倒扣分，某位E開頭的在時事區一直保持在7000多分，標準？怎麼扣分？在哪找得到？
"
"

Monica陳

","
也沒通知個人是什麼原因就一直降評分感覺很差
"
"

bradia

","
太好笑了，五分哪有姑娘不戴花 wrote:真的寫得很爛，我才會給5分
"
"

老何boss

","
有人看文很受感動.說+100分.也才5分.
"
"

傲笑憐

","
走過路過不要錯過快給我至少1分掛1450好久了１４５０會死全家的 
"
"

yuyuouo

","
好的好的立馬給你五分
"
"

對電腦不懂

","
從我自已實際發文還有回復來看就知道很多使用者本身素質能力低劣.............
"
"

tcwu

","
等15秒讀好文...系統正在準備文章內容, 請耐心稍待１５秒🤣🤣我一律給５分
"
"

單身小阿姨

","
請問1.自己的分數要去那裏才看得到?2.累積分數要幹麻?可以換獎品，還是有其他用圖?我只會給別人+分
"
"

喬大叔

","
單身小阿姨 wrote:請問1.自己的分數要...(恕刪)
用APP看嗎⋯點自己的ID看看吧⋯
"
"

單身小阿姨

","
喬大叔 wrote:用APP看嗎⋯點自己...(恕刪)
請問是圈起來的這個嗎?
"
"

古畑任天堂

","
單身小阿姨 wrote:請問1.自己的分數要去那裏才看得到?
請問你以前的帳號名稱是 ""隔壁的小阿姨"" 嗎?回答的話, 我就把你的積分貼給你看(我印象中你的帳號不是叫作 ""隔壁的小阿姨"" 嗎? 我還有回過你濾水壺的樓????)
"
"

單身小阿姨

","
古畑任天堂 wrote:請問你以前的帳號名稱...(恕刪)
會不會是你記錯了?我還算剛下放部隊吧!在這裏，沒刪過文，也沒上任何黑名單
"
"

喬大叔

","
單身小阿姨 wrote:請問是圈起來的這個嗎...(恕刪)
怎麼不一樣⋯
 "
"

古畑任天堂

","
單身小阿姨 wrote:會不會是你記錯了?我(恕刪)
積分有三種用法:1. 稱讚你覺得好的網友, 好的文 ==> 幫該文加分2. 貶低你覺得不好的網友, 不好的文 ==> 幫該文的上下樓加分, 營造出該文不被認同的假象.3. 拉幫結派, 創造專屬於你的小圈圈, 小團體~~~ 以後小團體成員發文, 就互相加分~~~應用:遇到第二種情況, 我網友就會幫那一頁的 ""全部的"" 其他網友都加分~~~(有一種可能是我記到 ""影片名稱"" 去了. 幫你加了一分, 還你了. (你在濾水壺樓有幫我加過一分, 這我沒記錯吧~))(當然, 有一種可能是 ""其實我沒有記錯~~~"")
"
"

單身小阿姨

","
古畑任天堂 wrote:績分有兩種用法:1....(恕刪)
承教!我通常把他當認同或文佳給分，在沒有留言時使用。回文才是我認真看待。其他就隨緣吧[
"
"

顧人怨大摳呆

","
5分5分
"
"

SundayCoffee

","
五分! 棒棒
"
"

老翅幾回寒暑

","
感謝分享 
"
"

Sharyn Meegenea

","
謝謝分享!推~
"
"

ahwaiyuen98

","
加多少分都沒用是否如果回覆不好會扣分幾個月前的分數比現在還多荷葉擎珠不及東風一浪在年度回顧內可以看到所有得分今年還未算都比現在多
有些回文我會存為 PDF原貼文
https://www.mobile01.com/topicdetail.php?f=806&t=6301586原貼文
https://www.mobile01.com/topicdetail.php?f=509&t=6252084
"
"

放慢是細品
 
","
你不留言就沒有分
"
"

延伸，

","
來個扣分比較有建設性意義讚成請給分
"
"

多多空空

","
我都很用心的回文 而且每次上來 我都會先看我拿到幾個分 然後認真的再看一次我留的文 雖然我不知道能幹嘛 但有好文章一定要給分的
"
"

跩狗賤兔雄

","
就衝著這篇文~還不讚爆
"
"

影子是黑色

","
給不給分是其次，光是受到標題點閱觀看數就比分數給分來得重要
"
"

s9862104

","

"
"

28424955

","
雖然如此我也好希望有分阿QQQQQ
"
"

勞東

","
不是應該像點熊貓外送一樣嗎？點到超難吃的店一定要給五顆星這麼難吃可不能只有我吃到
"
"

灰灰太狼

","
努力以赴一定會給與回饋雖然惡意搔擾也很多
"
"

南勢溪的彩虹

","
大家積分都好高....小弟有個毛病 來01應該有十年了 積分一上來就想開新帳號我印象中以前沒有評分系統這個帳號也是新的 破五千前應該就會冷凍了 永遠的新人
"
"

三角鐵

","
chiang wrote:各位知道我們設立給分(恕刪)
如果寫得很差可以給0分嗎?
"
"

春天花開後滿心歡
 
","
三角鐵 wrote:如果寫得很差可以給0(恕刪)
0分怎給空心的鼓掌嗎哈哈有分就是實心嗎那也太嘲諷了吧
"
"

Yellow Loveee

","
哪有姑娘不戴花 wrote:我不會隨便給人分數的...(恕刪)
反向操作哈哈哈
"
"

小狸(保育類)

","
哪有姑娘不戴花 wrote:我不會隨便給人分數的除非他真的寫得很爛，我才會給5分
哈哈哈哈哈光看你的頭像就+5分了XD
"
"

rtype13

","
屆版面詢問，對於一些常常離題發文累犯，01官方有機制會處理嗎？
"
"

oyc4388

","
01一堆惡意干擾發言的似乎都有針對性,網軍不見得是講自己的產品好,干擾別人討論降低品牌或產品能見度也是一種手段,幾個人互相給分每個人分數都還不低,看看發言紀錄99%都是廢文每個版都有酸民,當然不可能每個酸民都要限制,那01可能剩沒幾個人了,比如汽車版一個版面分區內的每篇都會有幾個""特定""班底在干擾,並誣指回文或發文的人是業代,讓大家都懶得發言冷眼旁觀,導致版面越來越冷清,逐漸轉移到其他家族討論,真的要問問題沒人回,有回的大都是廢文,或是指點到哪個家族去討論這幾年看下來這些現象越來越嚴重,雖然蔣大認為這是言論自由,但是導致很多優質會員早已離開01,不願在01參與討論,尤其是汽車版和相機版最嚴重,如果劣幣逐良幣的現象一直不斷下去,對01不是件好事,很多網站就是這樣由盛而衰看蔣大對這些惡意損害01的行為是繼續放任還是要做適度的管理,是不是該限制某些人進入某些版面,留下更多優質會員,有優質的討論區才能吸引更高的流量,我相信蔣大比我們都清楚
"
"

莫可辛

","
認真的人在網路上不好生存
"
"

shsh123p

","
下午安安~ 應該有些人快下班了吧XDD
"
"

pubjer6

","
真的是很讚的文章
"
"

路人39

","
chiang wrote:各位知道我們設立給分(恕刪)
笑翻......請問這水準會不會太誇張了點?
"
"

shsh123p

","
路人39 wrote:笑翻......請問(恕刪)
這個真的好尬
"
"

酷里斯帝

","
鼓勵好文的給分還是有的，但大多淪為認不認同己見的吵架工具。管理員取消了時事的分數，就是因為時事板一向是吵最多的。但像汽機車七嘴八舌的也不遑多讓甚有過之。就每次有爭執時，你的意見我認同就給你分，一些沒水準的發言自然有一堆沒水準的人給分。所以分數多的不見得是常發好文，更不見得是正義。不過分數多了好像也不能怎樣，沒差......
"
"

呆呆031444

","
不正經好像比較能拿分
"
"

路人39

","
酷里斯帝 wrote:所以分數多的不見得是常發好文，更不見得是正義。不過分數多了好像也不能怎樣，沒差......
時事板根本就是因為政治立場在胡亂給分所以才取消連管理員都疑似有了政治立場除了時事板最嚴重的就是這個閒聊板吧發廢文互相給分跟這比起來, 認同道理而給分還比較合理一點
"
"

灰狼01

","
chiang wrote:各位知道我們設立給分功能的意義嗎?給分功能設立之初是希望能夠給寫好文章的人，或是回答問題很認真的人一種鼓勵但是現在卻變成很多人拿來玩樂的一種工具，失去的它原本設計的目的我在此誠懇的呼籲，不要再亂用給分系統了，如果你真的很愛這個功能，你應該去把分數給真正發表分享文的網友，或是去參與他文章回文，給這些分享者一點鼓勵各位都會說01好文章越來越少，這都是因為少了各位的支持跟鼓勵，讓這些分享者少了動力，如果你寫了一篇好文章，沒人參與也沒人給分，我想幾次後你也會沒動力我希望夠過溝通跟溫情喊話能讓大家改變使用習慣，不要讓我們用規定或強制拿掉這個功能的方式來處理問題，我不認爲這種方式是最好的解決方法，再次呼籲大家幫忙，多給發文者鼓勵，不要再亂用給分功能，拜託
這種給分制度能達到的功能...就是選美的功能而已!但選美制度選出來的人卻不一定是最美的，而是人氣最高的。""美"" 的標準人人不一，那""認真""呢? 有標準嗎?人會基於立場、利益而有衝突，時事版就是這現象聚集之處，沒有是非，只有立場!給分制度不能說沒有""鼓勵""功能，但這鼓勵功能所鼓勵的網友都是認真回文的嗎?我建議把 ""給分功能"" 廢了吧!
"
"

克林伊斯威特

","
給分功能真正的意義其實是培養廢文王，替01增加流量，一個網站要靠廢文和大奶來增加流量，其實也是蠻悲哀的，如果和以前相比的話。
"
"

aavicky

","
我就是香蕉 wrote:我公然幫九哥+5分會申請了""君子之蕉蛋如水""這個帳號之後，第二個""我就是香蕉""的帳號就很少登入使用，從今年農曆年到現在一直都是使用""君子之蕉蛋如水""的帳號，結果""君子之蕉蛋如水""因故在4月休息了一個月之後，今天(5月1日)早上登入回覆6則留言之後又被停權了，於是趕緊再把這個已經幾個月沒登入使用的帳號""我就是香蕉""拿出來用，說實話，大約一年裡面沒有犯錯，然後被連續搞了幾次，我還是對01不離不棄，可見我應該是真心愛01的，但是又何奈，落花有意隨流水，流水無情戀落花，真的有點不如歸去的感覺了。(恕刪)
蕉大，等你回來
"
"

涼山蔔

","
aavicky wrote:蕉大，等你回來(恕刪)
蕉大回來喔~~
"
"

蕉敢神經 粉大條

","
aavicky wrote:蕉大，等你回來
涼山蔔 wrote:蕉大回來喔~~
又進去了，等管妹回覆，https://www.mobile01.com/sitemanage.php?mode=detail&t=6617893這棟樓是蔣大蓋的，應該不會被回收吧。
"
"

酷里斯帝

","
chiang wrote:給分功能設立之初是希望能夠給寫好文章的人，或是回答問題很認真的人一種鼓勵
那蔣大開樓的這篇算是好文章嗎？因為目前已得了五百多分耶！我看很多寫得很好的文也都沒這麼多分！
"
"

zipi1224

","
有人氣就有分分酷里斯帝 wrote:那蔣大開樓的這篇算是...(恕刪)
"
"

jjie66836

","
就是個人心證吧~有給有鼓勵沒給也別太放在心上
"
"

兔子哩

","
我每次都很認真回，但都沒有人要給我分ＱＱ
"
"

不貳過

","
發/回文有亮點比較有機會得分。
"
"

法客

","
不貳過 wrote:發/回文有亮點比較有(恕刪)
給分能幹嘛？！ 😷🤔
"
"

阿宗+阿德

","
我還好欸
"
"

debby071727

","
不亂給，所以給你+1😊
"
"

wee_afterwork

","
原來是這樣
"
"

茶醉癮

","
chiang wrote:各位知道我們設立給分(恕刪)
早就觀察過了寫得超級爛的還比用心寫的分數還高
"
